location_id,city,area_name,latitude,longitude
1,Delhi,Willie Throughway,28.550246,77.133522
2,Delhi,Holmes Camp,28.669339,77.115033
3,Delhi,Rodriguez Route,28.626835,77.354928
4,Delhi,James Fork,28.593615,77.251562
5,Delhi,Fox Green,28.754712,77.100292
6,Delhi,Garcia Unions,28.589482,77.314058
7,Delhi,Martinez Port,28.743592,77.239371
8,Delhi,Michelle Ridge,28.506926,77.329441
9,Mumbai,Michelle Estate,18.978334,72.833563
10,Mumbai,Natasha Rapid,19.038652,72.861887
11,Mumbai,Phillips Cliff,19.16305,72.968343
12,Mumbai,Christopher Flat,19.141897,72.734339
13,Mumbai,Chaney Station,19.095454,72.951948
14,Mumbai,Rivera Mill,19.059388,73.011181
15,Mumbai,Samantha Mountains,19.173143,72.919147
16,Mumbai,Matthew Loaf,18.944728,72.923404
17,Bangalore,Anderson Gateway,13.095074,77.558434
18,Bangalore,Patrick Fords,13.07304,77.538548
19,Bangalore,Bailey Way,12.992631,77.639127
20,Bangalore,Scott Cliffs,13.024999,77.709365
21,Bangalore,Rodriguez Turnpike,12.891987,77.523311
22,Bangalore,Justin Freeway,13.032812,77.497758
23,Bangalore,Tucker Orchard,12.960881,77.45061
24,Bangalore,Barajas Rest,12.863894,77.648254
25,Chennai,Ballard Shoals,13.156938,80.155296
26,Chennai,Julia Stravenue,13.001013,80.150371
27,Chennai,Joseph Rapid,13.062724,80.158535
28,Chennai,Mendoza Mountain,13.063889,80.340329
29,Chennai,Bridget Mountains,13.137717,80.204838
30,Chennai,Murphy Mission,13.134829,80.399014
31,Chennai,Lisa Burgs,13.036957,80.219436
32,Chennai,Cook Skyway,13.104132,80.194351
33,Hyderabad,Sandra Plain,17.430474,78.586379
34,Hyderabad,Barrera Ford,17.372796,78.540552
35,Hyderabad,Nicholas Radial,17.430566,78.3483
36,Hyderabad,Powell Harbors,17.290025,78.604759
37,Hyderabad,Joe Loaf,17.516668,78.570832
38,Hyderabad,Tucker Trafficway,17.511374,78.428545
39,Hyderabad,Randall Rapids,17.309313,78.45199
40,Hyderabad,Morrison Branch,17.251603,78.579661
41,Pune,Holmes Fort,18.665653,73.953909
42,Pune,Valerie Hills,18.536893,73.795285
43,Pune,Amber Garden,18.429709,73.815919
44,Pune,Silva Summit,18.570491,73.840818
45,Pune,Bishop Spur,18.650618,73.962966
46,Pune,Tyler Green,18.40112,73.746158
47,Pune,Ramirez Mount,18.573272,73.775931
48,Pune,Shawn Lake,18.607709,73.884107
