payment_id,trip_id,amount,payment_method,payment_status,payment_datetime
1,1,707.37,Wallet,Success,2025-01-01 01:38:30
2,2,56.09,UPI,Success,2025-01-01 00:45:06
3,3,0.0,Card,Not_Applicable,
4,4,112.67,UPI,Success,2025-01-01 02:37:30
5,5,32.33,Wallet,Success,2025-01-01 03:55:30
6,6,0.0,UPI,Not_Applicable,
7,7,0.0,Card,Not_Applicable,
8,8,343.08,Wallet,Success,2025-01-01 05:32:54
9,9,45.39,UPI,Success,2025-01-01 06:35:36
10,10,73.2,Card,Success,2025-01-01 06:42:30
11,11,246.36,Cash,Success,2025-01-01 07:09:54
12,12,102.64,UPI,Success,2025-01-01 07:04:00
13,13,94.45,UPI,Success,2025-01-01 07:24:12
14,14,80.17,Card,Success,2025-01-01 07:20:42
15,15,58.37,Wallet,Success,2025-01-01 07:47:24
16,16,56.19,Card,Success,2025-01-01 07:37:24
17,17,0.0,Card,Not_Applicable,
18,18,0.0,Card,Not_Applicable,
19,19,0.0,Cash,Not_Applicable,
20,20,0.0,Cash,Not_Applicable,
21,21,45.54,Wallet,Success,2025-01-01 08:19:48
22,22,46.59,Cash,Success,2025-01-01 08:05:36
23,23,137.36,Wallet,Success,2025-01-01 08:37:18
24,24,0.0,UPI,Not_Applicable,
25,25,62.29,Wallet,Success,2025-01-01 08:19:18
26,26,222.38,UPI,Refunded,2025-01-01 08:56:12
27,27,241.32,Card,Success,2025-01-01 08:46:42
28,28,40.26,UPI,Success,2025-01-01 08:48:00
29,29,157.29,Wallet,Success,2025-01-01 08:38:24
30,30,43.3,UPI,Success,2025-01-01 08:41:00
31,31,0.0,Cash,Not_Applicable,
32,32,60.94,UPI,Success,2025-01-01 09:12:42
33,33,55.3,Cash,Success,2025-01-01 09:20:00
34,34,133.32,Wallet,Success,2025-01-01 09:44:30
35,35,79.47,UPI,Success,2025-01-01 09:56:36
36,36,0.0,Card,Not_Applicable,
37,37,160.47,UPI,Success,2025-01-01 10:06:00
38,38,0.0,Card,Not_Applicable,
39,39,138.19,Card,Success,2025-01-01 10:09:18
40,40,108.52,Wallet,Success,2025-01-01 10:38:12
41,41,83.06,Wallet,Success,2025-01-01 10:17:24
42,42,73.83,Wallet,Success,2025-01-01 10:29:18
43,43,222.31,UPI,Success,2025-01-01 10:35:42
44,44,26.44,Card,Success,2025-01-01 10:18:00
45,45,67.84,Cash,Success,2025-01-01 10:33:06
46,46,0.0,UPI,Not_Applicable,
47,47,312.61,UPI,Success,2025-01-01 11:05:48
48,48,101.21,Wallet,Success,2025-01-01 10:54:30
49,49,129.16,Wallet,Success,2025-01-01 11:25:42
50,50,46.62,Cash,Success,2025-01-01 11:19:18
51,51,493.06,Card,Success,2025-01-01 11:57:00
52,52,57.76,Card,Success,2025-01-01 11:44:06
53,53,52.58,Cash,Success,2025-01-01 11:44:24
54,54,138.01,Wallet,Success,2025-01-01 11:46:48
55,55,0.0,UPI,Not_Applicable,
56,56,54.72,UPI,Success,2025-01-01 12:00:30
57,57,141.52,Wallet,Success,2025-01-01 12:10:06
58,58,33.47,Card,Success,2025-01-01 12:03:12
