rating_id,trip_id,rider_rating_for_driver,driver_rating_for_rider,feedback_text
1,1,3,4,Smooth trip
2,2,5,4,A bit late to pickup
4,4,,,"Great ride, on time!"
5,5,5,5,Driver was very polite
8,8,,,Took a longer route than expected
9,9,5,4,Driver was very polite
10,10,4,5,Excellent service
11,11,4,5,Took a longer route than expected
12,12,4,4,A bit late to pickup
13,13,5,5,Smooth trip
14,14,5,5,"Great ride, on time!"
15,15,5,5,Smooth trip
16,16,5,4,
21,21,5,5,Took a longer route than expected
22,22,4,5,A bit late to pickup
23,23,4,4,Car could be cleaner
25,25,4,4,Took a longer route than expected
26,26,4,4,Excellent service
27,27,,,
28,28,4,4,Smooth trip
29,29,5,3,Smooth trip
30,30,,,Car could be cleaner
32,32,4,5,
33,33,5,4,Driver was very polite
34,34,4,4,Took a longer route than expected
35,35,4,5,A bit late to pickup
37,37,3,4,Excellent service
39,39,5,4,"Great ride, on time!"
40,40,5,5,
41,41,,,Smooth trip
42,42,5,3,Smooth trip
43,43,5,4,
44,44,5,4,Took a longer route than expected
45,45,4,3,Excellent service
47,47,,,Excellent service
48,48,5,4,Car could be cleaner
49,49,4,4,A bit late to pickup
50,50,4,4,A bit late to pickup
51,51,4,5,Smooth trip
52,52,5,3,Smooth trip
53,53,4,5,Car could be cleaner
54,54,5,5,Driver was very polite
56,56,4,5,Smooth trip
57,57,5,5,
58,58,,,Smooth trip
59,59,4,5,Took a longer route than expected
60,60,4,4,A bit late to pickup
61,61,4,4,
62,62,4,5,Car could be cleaner
63,63,4,5,Car could be cleaner
64,64,5,4,"Great ride, on time!"
65,65,5,4,"Great ride, on time!"
66,66,5,4,Car could be cleaner
67,67,4,5,
68,68,5,4,
69,69,3,4,Took a longer route than expected
70,70,5,5,Took a longer route than expected
72,72,,,Smooth trip
74,74,,,Smooth trip
75,75,5,5,Excellent service
76,76,4,5,
77,77,5,5,"Great ride, on time!"
79,79,,,Car could be cleaner
80,80,3,5,Excellent service
81,81,,,Took a longer route than expected
82,82,5,4,Car could be cleaner
83,83,4,5,Car could be cleaner
84,84,5,5,Car could be cleaner
85,85,,,
86,86,5,4,
87,87,4,5,
88,88,,,Smooth trip
89,89,3,5,Car could be cleaner
91,91,,,Took a longer route than expected
92,92,5,5,A bit late to pickup
93,93,5,4,Smooth trip
94,94,5,4,Smooth trip
95,95,4,5,Car could be cleaner
96,96,,,
97,97,5,4,Excellent service
98,98,5,5,Car could be cleaner
99,99,4,4,
101,101,3,5,Smooth trip
103,103,3,3,
104,104,4,5,A bit late to pickup
105,105,4,4,"Great ride, on time!"
106,106,5,5,Took a longer route than expected
107,107,,,Took a longer route than expected
108,108,4,5,Driver was very polite
109,109,4,4,"Great ride, on time!"
110,110,5,5,"Great ride, on time!"
111,111,5,5,A bit late to pickup
113,113,3,5,Took a longer route than expected
114,114,5,4,Took a longer route than expected
115,115,5,5,Car could be cleaner
116,116,4,5,Took a longer route than expected
117,117,4,4,Driver was very polite
118,118,5,5,A bit late to pickup
119,119,5,4,Driver was very polite
120,120,5,5,Excellent service
121,121,4,4,
122,122,5,4,
123,123,5,4,Driver was very polite
124,124,4,4,
125,125,,,
127,127,,,Car could be cleaner
128,128,5,5,Smooth trip
129,129,3,4,
131,131,4,4,Excellent service
132,132,5,4,Took a longer route than expected
134,134,5,5,Smooth trip
135,135,4,5,
136,136,5,4,"Great ride, on time!"
138,138,5,5,"Great ride, on time!"
139,139,4,5,Smooth trip
141,141,5,4,Excellent service
145,145,5,4,
146,146,4,4,"Great ride, on time!"
147,147,4,5,Smooth trip
148,148,5,5,Took a longer route than expected
149,149,5,4,A bit late to pickup
150,150,5,4,Took a longer route than expected
151,151,,,Car could be cleaner
152,152,,,Excellent service
153,153,4,5,Smooth trip
154,154,5,4,
155,155,5,5,A bit late to pickup
156,156,5,4,
158,158,5,4,Car could be cleaner
159,159,4,5,"Great ride, on time!"
160,160,4,5,
162,162,5,3,
163,163,4,4,A bit late to pickup
165,165,3,4,Driver was very polite
166,166,5,5,Smooth trip
168,168,4,5,Driver was very polite
169,169,3,5,
170,170,4,3,Smooth trip
171,171,4,5,Car could be cleaner
172,172,5,5,Excellent service
173,173,4,5,
174,174,5,4,Excellent service
175,175,5,4,
176,176,,,Driver was very polite
178,178,,,A bit late to pickup
179,179,5,4,Car could be cleaner
180,180,5,4,
181,181,4,5,
183,183,,,Took a longer route than expected
185,185,,,
186,186,5,5,"Great ride, on time!"
187,187,,,
188,188,4,3,Took a longer route than expected
189,189,5,4,
190,190,4,5,
191,191,4,5,
192,192,5,5,Excellent service
193,193,5,4,
195,195,5,4,
196,196,5,5,
197,197,3,5,Car could be cleaner
198,198,,,Driver was very polite
199,199,5,4,A bit late to pickup
200,200,5,5,
202,202,4,5,Driver was very polite
203,203,,,"Great ride, on time!"
204,204,4,5,Took a longer route than expected
205,205,4,5,
206,206,3,3,
207,207,,,Took a longer route than expected
208,208,4,5,Excellent service
209,209,4,3,Took a longer route than expected
210,210,5,5,Car could be cleaner
211,211,,,
215,215,4,5,Smooth trip
216,216,5,4,Driver was very polite
217,217,5,5,
218,218,4,4,
219,219,4,5,
220,220,,,"Great ride, on time!"
221,221,4,5,Driver was very polite
222,222,5,5,
224,224,,,Car could be cleaner
225,225,5,5,
226,226,4,4,Excellent service
227,227,4,5,Smooth trip
230,230,,,
231,231,,,Took a longer route than expected
232,232,5,4,Car could be cleaner
233,233,3,5,
234,234,4,5,
235,235,4,4,Car could be cleaner
236,236,4,4,Driver was very polite
237,237,5,4,
239,239,5,4,Smooth trip
240,240,3,5,
241,241,4,5,"Great ride, on time!"
242,242,4,4,Took a longer route than expected
244,244,4,4,Smooth trip
246,246,5,4,
247,247,4,5,Took a longer route than expected
248,248,5,4,Smooth trip
249,249,4,5,
250,250,5,4,
251,251,,,Driver was very polite
252,252,4,5,Car could be cleaner
253,253,5,5,
256,256,5,5,Excellent service
258,258,,,Excellent service
260,260,,,Car could be cleaner
261,261,,,
262,262,4,5,Excellent service
263,263,3,4,A bit late to pickup
264,264,,,
265,265,5,5,Car could be cleaner
266,266,,,Excellent service
268,268,4,5,Car could be cleaner
269,269,4,5,A bit late to pickup
271,271,,,A bit late to pickup
272,272,4,5,Driver was very polite
273,273,4,4,Took a longer route than expected
274,274,,,Took a longer route than expected
275,275,,,Took a longer route than expected
276,276,5,5,A bit late to pickup
277,277,3,5,Took a longer route than expected
278,278,,,"Great ride, on time!"
279,279,5,5,Smooth trip
280,280,5,5,Car could be cleaner
281,281,4,5,Smooth trip
282,282,5,4,
283,283,5,4,Took a longer route than expected
284,284,5,4,Driver was very polite
285,285,5,4,Excellent service
286,286,4,5,A bit late to pickup
287,287,4,5,Car could be cleaner
288,288,3,5,
290,290,4,4,
291,291,5,4,Smooth trip
292,292,5,3,
293,293,,,"Great ride, on time!"
295,295,5,4,Driver was very polite
296,296,4,5,
298,298,5,3,
299,299,4,5,Smooth trip
300,300,4,4,
301,301,4,4,A bit late to pickup
302,302,5,5,
303,303,4,4,Took a longer route than expected
304,304,4,5,Driver was very polite
305,305,5,5,
306,306,5,5,"Great ride, on time!"
308,308,5,5,
309,309,5,5,Smooth trip
310,310,,,Driver was very polite
312,312,4,4,Smooth trip
315,315,,,Smooth trip
316,316,4,4,
317,317,4,5,Car could be cleaner
318,318,5,4,Driver was very polite
319,319,5,5,A bit late to pickup
