vehicle_id,driver_id,vehicle_type,make,model,year,plate_number,seating_capacity
1,1,Bike,Tata,Exist,2016,WK-84-VG-7798,4
2,2,Bike,Maruti,Quickly,2024,BX-75-SG-3715,6
3,3,Economy,Tata,Affect,2024,YA-53-AR-3070,1
4,4,Premium,Hyundai,Sing,2016,GK-70-YE-6331,6
5,5,Economy,Hyundai,Pressure,2020,VO-61-BM-1955,3
6,6,XL,Toyota,Her,2024,RD-37-OF-3134,3
7,7,Bike,Toyota,Condition,2019,FK-79-OP-1703,4
8,8,XL,Hyundai,Other,2015,ID-30-AS-6189,4
9,9,Premium,Hyundai,Against,2018,ZG-58-ZL-2072,3
10,10,Auto,Tata,Generation,2019,JR-47-EP-4246,3
11,11,XL,Hyundai,Shake,2023,IK-25-QM-5065,6
12,12,Auto,Hero,Store,2020,OH-05-IB-3679,6
13,13,Premium,Maruti,Realize,2016,JQ-72-MB-0957,3
14,14,Premium,Tata,Writer,2014,KM-35-WZ-5081,1
15,15,Premium,Hyundai,Health,2024,UT-68-CV-4456,4
16,16,Economy,Tata,Alone,2015,CU-81-QD-7442,4
17,17,Bike,Tata,Place,2021,ZR-51-AK-5567,1
18,18,Economy,Honda,Hard,2017,MV-20-MR-1675,6
19,19,Auto,Toyota,Meeting,2021,OF-30-TC-0134,1
20,20,Premium,Tata,Will,2022,KE-58-QY-0670,4
21,21,Premium,Bajaj,Own,2016,AD-46-AC-5484,4
22,22,XL,Hero,Claim,2020,WQ-40-ND-0464,4
23,23,Bike,Hero,Morning,2024,WK-68-XA-3487,3
24,24,Premium,Tata,Author,2022,SZ-04-BI-8992,4
25,25,XL,Bajaj,Nice,2022,HC-57-SE-6013,6
26,26,Premium,Hero,Example,2014,KQ-95-GY-1181,4
27,27,Bike,Honda,Likely,2013,RH-65-XK-2508,4
28,28,Bike,Hyundai,Show,2017,VB-59-CE-0431,3
29,29,Bike,Tata,Claim,2024,ZE-74-XU-1647,6
30,30,Economy,Honda,In,2018,SP-63-HL-1032,6
31,31,Economy,Maruti,Information,2016,TY-76-GA-7025,4
32,32,XL,Honda,Mouth,2012,AS-84-XW-4469,4
33,33,Auto,Toyota,Appear,2014,QI-89-OL-2441,6
34,34,Auto,Toyota,Industry,2014,RV-81-RR-1372,1
35,35,Economy,Hyundai,Your,2023,VT-47-UK-9297,4
36,36,Premium,Bajaj,Describe,2015,BA-14-KQ-4894,4
37,37,XL,Hyundai,Sit,2021,PY-46-LJ-5846,4
38,38,Premium,Hero,Unit,2017,PE-48-WP-8780,4
39,39,Economy,Bajaj,Police,2016,EN-76-CH-7649,4
40,40,Economy,Bajaj,Police,2012,HK-05-GI-3425,1
41,41,Premium,Bajaj,Prove,2017,CT-71-CB-6289,3
42,42,Economy,Bajaj,Wait,2020,FL-76-HM-6609,3
43,43,Auto,Toyota,Consider,2022,VK-35-QP-2642,4
44,44,Bike,Hero,Field,2012,FA-93-HY-1769,3
45,45,Bike,Toyota,Ball,2019,BO-56-XP-7591,1
46,46,Economy,Tata,Last,2019,QT-63-RY-9670,4
47,47,Bike,Hero,Yard,2014,WZ-77-CD-7140,6
48,48,Auto,Toyota,Prove,2024,XS-02-QN-5015,6
49,49,Auto,Hyundai,Beyond,2020,DZ-40-UI-9985,6
50,50,Economy,Toyota,Believe,2022,VJ-56-RW-3744,4
51,51,Auto,Hero,Picture,2024,PV-55-SR-7663,1
52,52,Economy,Hero,Half,2024,NX-20-AR-5095,6
53,53,Bike,Hyundai,Training,2022,OT-72-SX-7728,3
54,54,Bike,Maruti,Exist,2019,JF-27-DT-6958,4
55,55,Economy,Hero,Also,2014,BP-89-AB-4266,4
56,56,Auto,Toyota,Task,2021,RT-98-QI-0276,4
57,57,Auto,Hyundai,Road,2016,DE-29-MZ-4350,4
58,58,Bike,Bajaj,Set,2014,XD-16-RH-5377,1
59,59,Premium,Hero,Shake,2016,SK-42-EL-4716,4
60,60,Economy,Honda,Win,2020,BR-16-EZ-3695,1
61,61,Bike,Bajaj,Way,2023,GY-25-ME-9250,6
62,62,Bike,Tata,Provide,2015,EN-56-GJ-9780,4
63,63,XL,Hero,Themselves,2017,EM-30-NW-7008,4
64,64,Economy,Hyundai,Wonder,2014,TO-49-LB-0237,6
65,65,Economy,Bajaj,Strategy,2014,JA-92-FS-4941,4
66,66,Economy,Toyota,I,2016,HP-69-SL-5991,3
67,67,Premium,Toyota,Cost,2019,EG-94-IJ-6403,3
68,68,Premium,Hero,Sister,2019,WL-87-WG-9146,4
69,69,Economy,Maruti,Method,2014,VD-12-XM-0339,6
70,70,Economy,Honda,Must,2019,NK-66-SM-6942,4
71,71,Bike,Hero,Race,2024,HG-83-TY-7542,6
72,72,XL,Hyundai,Wait,2022,OX-37-UD-7348,1
73,73,Economy,Bajaj,Wait,2024,RY-30-FD-2772,3
74,74,Auto,Honda,Population,2019,CV-93-WM-1625,1
75,75,XL,Maruti,Agree,2014,RP-26-OT-7992,4
76,76,XL,Hero,Mrs,2021,TD-83-WT-7268,1
77,77,XL,Tata,No,2024,RM-79-FZ-3889,1
78,78,Premium,Honda,Simply,2021,FE-28-QF-6728,4
79,79,XL,Maruti,Skill,2013,BC-86-YT-9104,4
80,80,Auto,Hero,Reality,2021,LV-29-SG-6965,4
81,81,Premium,Hero,Arm,2013,JB-57-SB-3180,4
82,82,Premium,Hyundai,Indeed,2020,EI-41-MX-0719,4
83,83,Auto,Hero,Morning,2018,BX-43-CH-3702,4
84,84,Bike,Tata,Successful,2017,UB-14-FL-9635,6
85,85,XL,Hero,Defense,2018,HU-35-UG-3110,3
86,86,Auto,Toyota,Behind,2019,OE-45-DS-6731,3
87,87,Premium,Maruti,Sound,2023,FC-01-XA-7493,3
88,88,Bike,Toyota,Can,2012,TS-07-CN-3021,1
89,89,Bike,Hero,Citizen,2019,FA-73-GQ-3970,6
90,90,Economy,Tata,Region,2014,ZJ-49-NK-2621,1
91,91,Auto,Maruti,Term,2014,NH-24-YV-0061,6
92,92,Economy,Maruti,Buy,2017,PU-49-FR-6602,3
93,93,Economy,Hero,Magazine,2015,FE-35-JT-8047,6
94,94,Bike,Tata,Write,2015,UV-00-PE-4501,4
95,95,Bike,Hyundai,Pass,2015,JE-19-ZM-5960,4
96,96,Auto,Maruti,Go,2021,AD-34-UQ-7796,4
97,97,Bike,Tata,Player,2020,WA-85-RK-6257,3
98,98,Premium,Honda,Chair,2019,LQ-24-QV-6406,4
99,99,Economy,Toyota,Unit,2014,GV-86-HK-1754,3
100,100,Bike,Maruti,Once,2012,JY-77-GY-1148,4
101,101,Economy,Honda,Church,2012,FQ-05-YV-8019,4
102,102,Bike,Maruti,Start,2012,FV-57-JY-0826,3
103,103,Bike,Hyundai,That,2015,TR-50-VI-4441,4
104,104,Auto,Hero,Up,2017,HI-94-DS-2670,3
105,105,Premium,Tata,College,2015,CQ-50-GQ-1513,4
106,106,XL,Maruti,Determine,2022,CC-62-SJ-6849,6
107,107,Premium,Tata,Effort,2022,SJ-41-AC-6981,4
108,108,Auto,Bajaj,Beat,2014,BI-68-EQ-1700,4
109,109,Auto,Maruti,Crime,2019,QO-36-MV-5972,4
110,110,Economy,Hyundai,Girl,2019,QH-76-DY-6105,6
111,111,Economy,Hyundai,In,2017,AF-15-SD-0076,3
112,112,XL,Hero,Mention,2020,EJ-51-QL-8007,4
113,113,Bike,Hero,Moment,2023,GH-84-OB-5576,4
114,114,Bike,Honda,Certain,2021,IS-77-FM-0667,1
115,115,Economy,Hyundai,Half,2012,HQ-22-NA-8349,1
116,116,Premium,Tata,Able,2024,LV-92-XN-1527,3
117,117,Premium,Bajaj,Thank,2019,RY-78-SD-3367,4
118,118,Economy,Hyundai,Road,2017,LL-89-ZR-1205,6
119,119,XL,Maruti,Section,2012,BF-47-LQ-6988,4
120,120,Economy,Hyundai,These,2015,NA-25-GV-6208,4
121,121,XL,Bajaj,Difficult,2016,FQ-08-CY-8025,1
122,122,XL,Tata,Natural,2018,DD-16-OX-2063,3
123,123,Premium,Maruti,Today,2019,HZ-59-CY-5915,3
124,124,Auto,Honda,Guy,2020,ZW-16-IZ-6296,4
125,125,Bike,Honda,Yes,2023,YG-36-FM-0253,1
126,126,Economy,Honda,Something,2023,RX-20-CZ-9225,4
127,127,Economy,Hero,Wait,2017,NC-80-JZ-6940,6
128,128,Premium,Maruti,Laugh,2021,MO-73-SH-8718,4
129,129,Bike,Honda,Candidate,2020,IS-00-GS-0665,4
130,130,Auto,Hero,Language,2015,BD-39-OS-3004,4
131,131,Premium,Hyundai,Continue,2019,CY-56-RK-0897,3
132,132,Bike,Maruti,Risk,2014,SD-37-ND-5904,1
133,133,Auto,Maruti,Magazine,2015,AI-58-FP-3047,4
134,134,Auto,Maruti,Scene,2021,QX-89-HM-0276,4
135,135,Economy,Toyota,Business,2015,IU-00-FV-5019,4
136,136,Bike,Hero,Every,2017,IS-47-LF-3880,1
137,137,Premium,Tata,Best,2020,GU-40-YA-6282,4
138,138,Economy,Toyota,Customer,2017,AX-72-SI-5532,1
139,139,XL,Toyota,Family,2012,HM-85-VK-1550,1
140,140,Economy,Toyota,Strong,2016,GE-47-RW-1178,3
141,141,Auto,Tata,Contain,2020,VS-50-HH-5139,4
